id,street,city,accident_datetime_x,street_latitude,street_longitude,latitude,longitude,accident_datetime_y,future_dt_used,duration_sec,static_duration_sec,traffic_ratio,traffic_level
article_493044.0,triq l-ewwel titjira,luqa,2025-09-07 13:30:00,35.85691,14.48654,35.85691,14.48654,2025-09-07 13:30:00,2026-01-04 13:30:00+01:00,202.0,212.0,0.9528301886792453,LOW
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.89761,14.49392,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,505.0,368.0,1.372282608695652,MODERATE
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208,35.9016199,14.4948208,2025-09-04 18:15:00,2026-01-08 18:15:00+01:00,584.0,441.0,1.3242630385487528,MODERATE
article_492291.0,triq l-imdina,qormi,2025-08-31 07:30:00,35.874767,14.4608589,35.874767,14.4608589,2025-08-31 07:30:00,2026-01-04 07:30:00+01:00,174.0,198.0,0.8787878787878788,LOW
article_492115.0,triq emmanuele luigi galizia,marsa,2025-08-29 15:15:00,35.8740167,14.4832063,35.8740167,14.4832063,2025-08-29 15:15:00,2026-01-09 15:15:00+01:00,467.0,326.0,1.4325153374233128,MODERATE
